time,target,upper,lower
0,0,0,0
1,2.225,0.225,4.225
2,11.04615385,9.04615385,13.04615385
3,17,15,19
4,19.36666667,17.36666667,21.36666667
5,24.94615385,22.94615385,26.94615385
6,32.66555184,30.66555184,34.66555184
7,36,34,38
8,37.55172414,35.55172414,39.55172414
9,41.05925926,39.05925926,43.05925926
10,42,40,44
11,42,40,44
12,42,40,44
13,41.57777778,39.57777778,43.57777778
14,41,39,43
15,38.55,36.55,40.55
16,37,35,39
17,36,34,38
18,34,32,36
19,32.01435407,30.01435407,34.01435407
20,31,29,33
21,30,28,32
22,29,27,31
23,28,26,30
24,27,25,29
25,27,25,29
26,20.03,18.03,22.03
27,7.838383838,5.838383838,9.838383838
28,0.076666667,-1.923333333,2.076666667
29,0,-2,2
30,4.132258065,2.132258065,6.132258065
31,11.17940199,9.17940199,13.17940199
32,15,13,17
33,16,14,18
34,17,15,19
35,17,15,19
36,16.215,14.215,18.215
37,16,14,18
38,15,13,17
39,12.18709677,10.18709677,14.18709677
40,5.699164345,3.699164345,7.699164345
41,0,-2,2
42,0.964824121,-1.035175879,2.964824121
43,10.82083333,8.82083333,12.82083333
44,20.77,18.77,22.77
45,22.185,20.185,24.185
46,27.17,25.17,29.17
47,32.88442211,30.88442211,34.88442211
48,33,31,35
49,32,30,34
50,30,28,32
51,26.96666667,24.96666667,28.96666667
52,19.53511706,17.53511706,21.53511706
53,8.746875,6.746875,10.746875
54,0.415,-1.585,2.415
55,0,-2,2
56,8.192857143,6.192857143,10.19285714
57,12,10,14
58,14.1125,12.1125,16.1125
59,15,13,17
60,14.16578947,12.16578947,16.16578947
61,14,12,16
62,14,12,16
63,14,12,16
64,14,12,16
65,14,12,16
66,14,12,16
67,14,12,16
68,14,12,16
69,14,12,16
70,13,11,15
71,12,10,14
72,11,9,13
73,10,8,12
74,9,7,11
75,10,8,12
76,10,8,12
77,11,9,13
78,11,9,13
79,10,8,12
80,10,8,12
81,10,8,12
82,11.20769231,9.20769231,13.20769231
83,18.988,16.988,20.988
84,21.4875,19.4875,23.4875
85,23.02916667,21.02916667,25.02916667
86,23,21,25
87,20.071875,18.071875,22.071875
88,16.47840532,14.47840532,18.47840532
89,15,13,17
90,16,14,18
91,17,15,19
92,17,15,19
93,17,15,19
94,16,14,18
95,16.85892116,14.85892116,18.85892116
96,21.55666667,19.55666667,23.55666667
97,23,21,25
98,22,20,24
99,21.765,19.765,23.765
100,20.37142857,18.37142857,22.37142857
101,18,16,20
102,15.265,13.265,17.265
103,9.275,7.275,11.275
104,2.554166667,0.554166667,4.554166667
105,0,-2,2
106,1.284615385,-0.715384615,3.284615385
107,10.10878661,8.10878661,12.10878661
108,14.79615385,12.79615385,16.79615385
109,16,14,18
110,17,15,19
111,16,14,18
112,15,13,17
113,14,12,16
114,13,11,15
115,8.286666667,6.286666667,10.28666667
116,2.020920502,0.0209205020000001,4.020920502
117,0.240802676,-1.759197324,2.240802676
118,8.528957529,6.528957529,10.52895753
119,12.146875,10.146875,14.146875
120,15,13,17
121,15.37666667,13.37666667,17.37666667
122,14.02083333,12.02083333,16.02083333
123,11.78888889,9.78888889,13.78888889
124,10,8,12
125,9,7,11
126,8,6,10
127,9,7,11
128,9,7,11
129,9.52,7.52,11.52
130,10,8,12
131,11.55294118,9.55294118,13.55294118
132,14.55,12.55,16.55
133,16,14,18
134,15.71666667,13.71666667,17.71666667
135,15,13,17
136,15,13,17
137,15,13,17
138,15,13,17
139,15,13,17
140,15,13,17
141,15,13,17
142,15,13,17
143,16,14,18
144,18.90588235,16.90588235,20.90588235
145,22.49266862,20.49266862,24.49266862
146,23,21,25
147,22,20,24
148,22.33793103,20.33793103,24.33793103
149,22.56,20.56,24.56
150,22,20,24
151,22,20,24
152,22,20,24
153,22,20,24
154,21,19,23
155,17.36159601,15.36159601,19.36159601
156,11.075,9.075,13.075
157,5.283018868,3.283018868,7.283018868
158,0,-2,2
159,4.253571429,2.253571429,6.253571429
160,12.8625,10.8625,14.8625
161,13,11,15
162,14,12,16
163,13.31724138,11.31724138,15.31724138
164,13,11,15
165,13,11,15
166,13,11,15
167,13,11,15
168,14,12,16
169,14,12,16
170,14,12,16
171,13,11,15
172,12,10,14
173,11,9,13
174,10.2,8.2,12.2
175,10,8,12
176,9.725,7.725,11.725
177,9,7,11
178,8,6,10
179,8,6,10
180,8,6,10
181,5.823899371,3.823899371,7.823899371
182,1.0125,-0.9875,3.0125
183,0,-2,2
184,3.05,1.05,5.05
185,7,5,9
186,8,6,10
187,8,6,10
188,8,6,10
189,7,5,9
190,5.475,3.475,7.475
191,1.56,-0.44,3.56
192,0,-2,2
193,8.208695652,6.208695652,10.20869565
194,11,9,13
195,11,9,13
196,10.44285714,8.44285714,12.44285714
197,5.011764706,3.011764706,7.011764706
198,0,-2,2
199,2.764285714,0.764285714,4.764285714
200,11.86875,9.86875,13.86875
201,15.18125,13.18125,17.18125
202,16,14,18
203,16,14,18
204,14.555,12.555,16.555
205,14,12,16
206,15,13,17
207,15.39875389,13.39875389,17.39875389
208,16.34285714,14.34285714,18.34285714
209,16,14,18
210,18.69,16.69,20.69
211,22.45882353,20.45882353,24.45882353
212,26,24,28
213,30,28,32
214,30,28,32
215,31,29,33
216,31,29,33
217,30,28,32
218,30,28,32
219,30,28,32
220,30,28,32
221,30,28,32
222,30,28,32
223,31,29,33
224,31,29,33
225,31,29,33
226,31,29,33
227,30.15131579,28.15131579,32.15131579
228,30.52366864,28.52366864,32.52366864
229,30,28,32
230,30,28,32
231,30,28,32
232,31,29,33
233,30,28,32
234,30,28,32
235,30,28,32
236,30,28,32
237,29,27,31
238,28,26,30
239,28,26,30
240,28,26,30
241,28,26,30
242,24.60797342,22.60797342,26.60797342
243,19.1375,17.1375,21.1375
244,18,16,20
245,17,15,19
246,17,15,19
247,17,15,19
248,17,15,19
249,17,15,19
250,17,15,19
251,19.96261682,17.96261682,21.96261682
252,26.39411765,24.39411765,28.39411765
253,29.20294118,27.20294118,31.20294118
254,30,28,32
255,30,28,32
256,29,27,31
257,29,27,31
258,30,28,32
259,35.09,33.09,37.09
260,37,35,39
261,36,34,38
262,36,34,38
263,30.51,28.51,32.51
264,21.655,19.655,23.655
265,12.31,10.31,14.31
266,3.183333333,1.183333333,5.183333333
267,0,-2,2
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,2.225,0.225,4.225
280,11.04615385,9.04615385,13.04615385
